Domain,Key,Type,Description
Maintainability,development_cost,STRING,SQALE development cost
Maintainability,sqale_debt_ratio,PERCENT,Ratio of the actual technical debt compared to the estimated cost to develop the whole source code from scratch
Maintainability,new_sqale_debt_ratio,PERCENT,Technical Debt Ratio of new/changed code.
Maintainability,code_smells,INT,Code Smells
Maintainability,new_code_smells,INT,New Code Smells
Maintainability,effort_to_reach_maintainability_rating_a,WORK_DUR,Effort to reach maintainability rating A
Maintainability,new_maintainability_rating,RATING,Maintainability rating on new code
Management,burned_budget,FLOAT,No Description
Management,business_value,FLOAT,No Description
Management,team_size,INT,No Description
No Domain,fat_method_list,INT,No Description
No Domain,s101_model_name,STRING,No Description
No Domain,s101_model_sequential_actions,INT,No Description
No Domain,s101_model_refactoring_actions,INT,No Description
No Domain,s101_model_class_mappings,INT,No Description
No Domain,s101_model_alignment,PERCENT,No Description
Releasability,alert_status,LEVEL,The project status with regard to its quality gate.
Reliability,bugs,INT,Bugs
Reliability,new_bugs,INT,New Bugs
Reliability,reliability_remediation_effort,WORK_DUR,Reliability Remediation Effort
Reliability,new_reliability_remediation_effort,WORK_DUR,Reliability remediation effort on new code
Reliability,reliability_rating,RATING,Reliability rating
Reliability,new_reliability_rating,RATING,Reliability rating on new code
SCM,last_commit_date,MILLISEC,No Description
Security,vulnerabilities,INT,Vulnerabilities
Security,new_vulnerabilities,INT,New Vulnerabilities
Security,security_remediation_effort,WORK_DUR,Security remediation effort
Security,new_security_remediation_effort,WORK_DUR,Security remediation effort on new code
Security,security_rating,RATING,Security rating
Security,new_security_rating,RATING,Security rating on new code
Size,lines,INT,Lines
Size,generated_lines,INT,Number of generated lines
Size,ncloc,INT,Non commenting lines of code
Size,ncloc_language_distribution,DATA,Non Commenting Lines of Code Distributed By Language
Size,generated_ncloc,INT,Generated non Commenting Lines of Code
Size,classes,INT,Classes
Size,files,INT,Number of files
Size,directories,INT,Directories
Size,functions,INT,Functions
Size,accessors,INT,Accessors
Size,statements,INT,Number of statements
Size,projects,INT,Number of projects
Size,comment_lines,INT,Number of comment lines
Size,comment_lines_density,PERCENT,Comments balanced by ncloc + comment lines
Size,ncloc_data,DATA,No Description
Size,comment_lines_data,DATA,No Description
Size,new_lines,INT,Non commenting lines on new code
Sonargraph Integration,sg_i.CORE_VIOLATIONS_COMPONENT_DEPENDENCIES,INT,Number of architecture violating component dependencies
Sonargraph Integration,sg_i.CORE_BIGGEST_COMPONENT_CYCLE_GROUP,INT,Number of components in biggest cycle.
Sonargraph Integration,sg_i.CORE_UNASSIGNED_COMPONENTS,INT,Number of internal components that are not assigned to any artifact
Sonargraph Integration,sg_i.CORE_EMPTY_ARTIFACT_COUNT,INT,Number of active architecture artifacts that are empty
Sonargraph Integration,sg_i.CORE_LINES_OF_CODE,INT,Lines of code excluding blank and comment lines.
Sonargraph Integration,sg_i.CORE_NCCD,FLOAT,Normalized cumulative component dependency  according to John Lakos. The ratio between the cumulative component dependency and the cumulative component dependency of a balanced binary tree of the same size. A value greater than 1 indicates a more verti...
Sonargraph Integration,sg_i.CORE_DUPLICATES,INT,Number of duplicated code blocks.
Sonargraph Integration,sg_i.CORE_COMPONENT_DEPENDENCIES_TO_REMOVE_COMPONENTS,INT,Number of component dependencies to remove to break up all non-ignored component cycles
Sonargraph Integration,sg_i.CORE_CODE_COMMENT_LINES,INT,Counts all comment lines excluding header comments.
Sonargraph Integration,sg_i.CORE_IGNORED_DUPLICATES,INT,Number of ignored duplicated code blocks.
Sonargraph Integration,sg_i.CORE_THRESHOLD_VIOLATIONS,INT,Number of non-ignored threshold violations.
Sonargraph Integration,sg_i.CORE_COMMENT_LINES,INT,Counts all comment lines.
Sonargraph Integration,sg_i.CORE_RELATIVE_CYCLICITY_COMPONENTS,FLOAT,Relative component cyclicity in percent.
Sonargraph Integration,sg_i.CORE_IGNORED_VIOLATIONS_PARSER_DEPENDENCIES,INT,Number of parser dependencies in ignored architecture violations
Sonargraph Integration,sg_i.CORE_CYCLIC_COMPONENTS,INT,Number of components involved in cycles.
Sonargraph Integration,sg_i.JAVA_RELATIVE_CYCLICITY_PACKAGES,FLOAT,Relative package cyclicity in percent.
Sonargraph Integration,sg_i.CORE_VIOLATIONS_PARSER_DEPENDENCIES,INT,Number of architecture violating parser dependencies
Sonargraph Integration,sg_i.JAVA_COMPONENT_DEPENDENCIES_TO_REMOVE_PACKAGES,INT,Number of component dependencies to remove to break up all non-ignored package cycles.
Sonargraph Integration,sg_i.CORE_TOTAL_LINES,INT,Counts all lines including empty and comment lines.
Sonargraph Integration,sg_i.CORE_ARTIFACT_COUNT,INT,Number of active architecture artifacts
Sonargraph Integration,sg_i.JAVA_IGNORED_CYCLIC_PACKAGES,INT,Number of ignored cyclic packages.
Sonargraph Integration,sg_i.CORE_STRUCTURAL_DEBT_INDEX_COMPONENTS,INT,Cummulative structural debt index of non-ignored component cycles.
Sonargraph Integration,sg_i.CORE_ACD,FLOAT,Average component dependency according to John Lakos. Average number of components a component depends on directly and indirectly. This metric can be used to characterize the overall average coupling of internal components.
Sonargraph Integration,sg_i.JAVA_STRUCTURAL_DEBT_INDEX_PACKAGES,INT,Cummulative structural debt index of non-ignored package cycles.
Sonargraph Integration,sg_i.JAVA_CYCLICITY_PACKAGES,INT,Cummulated cyclicity of package cycles.
Sonargraph Integration,sg_i.CORE_CCD,INT,Cumulative component dependency according to John Lakos. Cumulated depends upon values.
Sonargraph Integration,sg_i.CORE_VIOLATING_COMPONENTS,INT,Number of components that contain architecture violations
Sonargraph Integration,sg_i.JAVA_PACKAGES,INT,Number of packages containing types.
Sonargraph Integration,sg_i.JAVA_CYCLIC_PACKAGES,INT,Number of cyclic packages.
Sonargraph Integration,sg_i.CORE_COMPONENTS,INT,Number of components.
Sonargraph Integration,sg_i.CORE_MAX_ACD,FLOAT,Highest ACD value among child elements.
Sonargraph Integration,sg_i.CORE_RACD,FLOAT,Relative average component dependency. Average component dependency divided by the number of internal components multiplied by 100 (in percent).
Sonargraph Integration,sg_i.CORE_COMPONENT_CYCLE_GROUPS,INT,Number of component cycles.
Sonargraph Integration,sg_i.CORE_PARSER_DEPENDENCIES_TO_REMOVE_COMPONENTS,INT,Number of code lines to change to break up all non-ignored component cycles.
Sonargraph Integration,sg_i.JAVA_BYTE_CODE_INSTRUCTIONS,INT,Number of Java byte code instructions.
Sonargraph Integration,sg_i.CORE_STATEMENTS,INT,Counts all statements.
Sonargraph Integration,sg_i.JAVA_BIGGEST_PACKAGE_CYCLE_GROUP,INT,Biggest package cycle.
Sonargraph Integration,sg_i.CORE_IGNORED_THRESHOLD_VIOLATIONS,INT,Number of ignored threshold violations.
Sonargraph Integration,sg_i.CORE_SOURCE_ELEMENT_COUNT,INT,Number of programming elements (i.e. types, fields, methods, functions, ...) plus number of statements.
Sonargraph Integration,sg_i.CORE_IGNORED_CYCLIC_COMPONENTS,INT,Number of components involved in ignored cycles.
Sonargraph Integration,sg_i.JAVA_PACKAGE_CYCLE_GROUPS,INT,Number of package cycle groups.
Sonargraph Integration,sg_i.PERCENTAGEOFDEADCODE,FLOAT,Percentage of potentially dead code
Sonargraph Integration,sg_i.CORE_CYCLICITY_COMPONENTS,INT,Cummulated cyclicity of component cycles.
Sonargraph Integration,sg_i.CORE_DUPLICATED_LINES,INT,Number of duplicated lines in non-ignored duplicated code blocks.
Sonargraph Integration,sg_i.JAVA_PARSER_DEPENDENCIES_TO_REMOVE_PACKAGES,INT,Number of code lines to change to break up all non-ignored package cycles.
Sonargraph Integration,sg_i.STRUCTURAL_DEBT_COST,FLOAT,Estimated Cost to Repair Structural Erosion
Sonargraph Integration,sg_i.CURRENT_VIRTUAL_MODEL,STRING,Virtual model that has been active when the report has been created
Sonargraph Integration,sg_i.VIRTUAL_MODEL_FEATURE_AVAILABLE,BOOL,Used to signal if the virtual model feature is available
Sonargraph Integration,sg_i.NUMBER_OF_TASKS,INT,Number of task definitions
Sonargraph Integration,sg_i.NUMBER_OF_UNAPPLICABLE_TASKS,INT,Number of tasks that have no matching elements
Sonargraph Integration,sg_i.NUMBER_OF_RESOLUTIONS,INT,Number of defined resolutions
Sonargraph Integration,sg_i.NUMBER_OF_UNAPPLICABLE_RESOLUTIONS,INT,Number of resolutions that have no matching elements
Sonargraph Integration,sg_i.NUMBER_OF_REFACTORINGS,INT,Number of refactoring definitions
Sonargraph Integration,sg_i.NUMBER_OF_UNAPPLICABLE_REFACTORINGS,INT,Number of refactorings that have no matching elements
Sonargraph Integration,sg_i.NUMBER_OF_PARSER_DEPENDENCIES_AFFECTED_BY_REFACTORINGS,INT,Number of parser depencencies affected by refactorings
Sonargraph Integration,sg_i.JAVA_CYCLIC_PACKAGES_PERCENT,PERCENT,Percentage of cyclically coupled packages
Sonargraph Integration,sg_i.MAX_MODULE_NCCD,FLOAT,Highest Module NCCD
Sonargraph Integration,sg_i.ARCHITECTURE_FEATURE_AVAILABLE,BOOL,Used to signal if the architecture feature is available
Sonargraph Integration,sg_i.NUMBER_OF_ISSUES,INT,Total number of issues
Sonargraph Integration,sg_i.NUMBER_OF_CRITICAL_ISSUES_WITHOUT_RESOLUTION,INT,Total number of issues (warnings and errors) without resolution
Sonargraph Integration,sg_i.VIOLATING_COMPONENTS_PERCENT,PERCENT,Percentage of components with architecture violation
Sonargraph Integration,sg_i.UNASSIGNED_COMPONENTS_PERCENT,PERCENT,Percentage of unassigned components
Sonargraph Integration,sg_i.NUMBER_OF_THRESHOLD_VIOLATIONS,INT,Number of threshold violations
Sonargraph Integration,sg_i.NUMBER_OF_WORKSPACE_WARNINGS,INT,Number of workspace warnings
Sonargraph Integration,sg_i.NUMBER_OF_IGNORED_CRITICAL_ISSUES,INT,Number of ignored critical issues
